,vib_max,vib_min,vib_cur,accumulativeprofit,mins_mean_30,mins_ratio,cur_price,beginyear
SZ300244,0.222249968785,0.0,0.0482573726542,5.37548187507,20.8506666667,1.11219465405,23.19,2011
SZ002550,0.222222222222,0.0,0.0186125211506,1.27493641523,5.34633333333,1.11478271713,5.96,2011
SZ002038,0.195652173913,0.0,0.0582867235796,37.339996755,8.273,4.32491236553,35.78,2004
SZ000931,0.222891566265,0.0,0.0288315629742,0.185309125519,2.33066666667,2.84467963387,6.63,2000
SH600126,0.222222222222,0.0,0.015503875969,1.89365769452,2.88433333333,2.23968565815,6.46,2000
SZ300037,0.222321428571,0.0,0.0334654337296,1.92799373894,14.6846666667,1.57579334453,23.14,2010
SZ000627,0.222826086957,0.0,0.0272277227723,1.98590964547,1.84733333333,4.47130999639,8.26,2000
SZ000552,0.216243654822,0.0,0.0170454545455,1.81466714607,2.31466666667,1.53801843318,3.56,2000
SZ002588,0.199791883455,0.0,0.0154711673699,2.31448259964,6.74466666667,1.06899278442,7.21,2011
SH600596,0.219640971489,0.0,0.0567210567211,4.12432734599,5.913,2.23067816675,13.19,2001
SZ002800,0.200216450216,0.0,0.0311299000769,2.47128539458,22.1283333333,1.20433832944,26.65,2016
SZ002128,0.221818181818,0.0,0.0297324083251,0.875258750052,6.421,1.571406323,10.09,2007
SZ002768,0.22218087086,0.0,0.0435129740519,3.07090005957,20.7013333333,1.23905062476,25.65,2015
SZ000008,0.222497932175,0.0,0.0325779036827,1.70445262555,3.68466666667,1.92961823774,7.11,2000
SZ000686,0.213919413919,0.0,0.0138364779874,0.905266255602,3.24166666667,2.47095115681,8.01,2000
SZ300603,0.21,0.0,0.0492149758454,4.9971447861,20.9906666667,1.58641936099,33.3,2017
SH603330,0.143847487002,0.0,0.0429700928154,1.16458009665,29.1903333333,1.02910780966,30.04,2017
SH603686,0.204269371388,0.0,0.0187067913786,2.30965579283,22.8766666667,1.08276264024,24.77,2015
SH603139,0.0989010989011,0.0,0.0416095107453,1.08254114438,22.0926666667,1.02884818492,22.73,2017
